city_name,state,region,latitude,longitude,population,n_customers,mean_review_score,mean_delivery_days,on_time_rate,on_time_review_score,late_review_score,mean_price,mean_freight
São Paulo,SP,Sudeste,-23.55,-46.63,40501,40501,4.246,8.302,0.955,4.325,2.548,125.108,17.339
Rio de Janeiro,RJ,Sudeste,-22.91,-43.17,12350,12350,3.963,14.858,0.879,4.241,1.913,142.211,23.94
Minas Gerais,MG,Sudeste,-18.51,-44.55,11354,11354,4.193,11.546,0.954,4.278,2.363,136.45,23.446
Rio Grande do Sul,RS,Sul,-30.03,-51.22,5345,5345,4.185,14.838,0.939,4.313,2.209,136.087,24.797
Paraná,PR,Sul,-25.25,-52.02,4923,4923,4.238,11.536,0.96,4.303,2.667,135.348,23.514
Santa Catarina,SC,Sul,-27.24,-50.22,3546,3546,4.131,14.496,0.918,4.289,2.343,142.859,24.856
Bahia,BA,Nordeste,-12.58,-41.7,3256,3256,3.929,18.887,0.878,4.142,2.361,151.365,29.939
Distrito Federal,DF,Centro-Oeste,-15.8,-47.86,2080,2080,4.132,12.539,0.944,4.261,1.975,142.207,23.873
Espírito Santo,ES,Sudeste,-19.18,-40.31,1995,1995,4.082,15.341,0.893,4.264,2.512,134.347,24.569
Goiás,GO,Centro-Oeste,-15.83,-49.84,1957,1957,4.103,15.147,0.934,4.231,2.238,144.772,26.284
Pernambuco,PE,Nordeste,-8.81,-36.95,1593,1593,4.086,17.934,0.905,4.298,2.034,157.67,35.757
Ceará,CE,Nordeste,-5.5,-39.32,1279,1279,3.938,20.819,0.862,4.24,2.04,171.946,36.531
Pará,PA,Norte,-2.0,-54.93,946,946,3.913,23.319,0.889,4.15,1.92,183.774,39.607
Mato Grosso,MT,Centro-Oeste,-12.68,-56.92,886,886,4.147,17.588,0.94,4.25,2.471,171.518,32.733
Maranhão,MA,Nordeste,-4.96,-45.27,717,717,3.839,21.067,0.827,4.18,2.18,162.559,42.908
Mato Grosso do Sul,MS,Centro-Oeste,-20.77,-54.79,701,701,4.169,15.202,0.904,4.368,2.294,164.094,26.925
Paraíba,PB,Nordeste,-7.12,-36.72,517,517,4.078,19.931,0.896,4.271,2.365,217.523,48.796
Piauí,PI,Nordeste,-7.72,-42.73,476,476,3.996,18.99,0.862,4.273,2.262,177.738,42.932
Rio Grande do Norte,RN,Nordeste,-5.4,-36.95,474,474,4.15,18.811,0.908,4.388,1.767,172.603,39.232
Alagoas,AL,Nordeste,-9.57,-36.78,397,397,3.842,24.03,0.786,4.295,2.12,197.156,38.443
Sergipe,SE,Nordeste,-10.57,-37.39,335,335,3.907,21.03,0.848,4.254,1.94,168.878,40.94
Tocantins,TO,Norte,-10.18,-48.3,274,274,4.154,17.226,0.901,4.301,2.815,176.651,42.354
Rondônia,RO,Norte,-10.84,-63.03,243,243,4.165,18.914,0.971,4.213,2.571,187.995,46.433
Amazonas,AM,Norte,-3.42,-65.86,145,145,4.221,25.945,0.973,4.284,2.0,152.135,37.376
Acre,AC,Norte,-9.02,-70.81,80,80,4.088,20.638,0.962,4.182,1.667,199.137,45.555
Amapá,AP,Norte,1.41,-51.77,67,67,4.242,26.731,0.97,4.234,4.5,199.624,41.299
Roraima,RR,Norte,2.0,-61.33,41,41,3.902,28.976,0.878,4.194,1.8,172.133,48.343
